"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.567009	0	1.01639	0.979263	0	0.0308791	2.80354e-05	13.6654	-0.0547797	16.5901	48.0012	178.602	35.4931	33.2612	44.701	16.5219	17.5671	4.3644	358.335	330.254	53.5508
0.785839	0	1.08163	0.969773	0	0.0729087	0.000138954	11.3268	-0.0549005	18.3154	47.891	161.925	7.23275	7.42597	3.23319	11.6453	11.3039	2.37689	510.804	463.223	85.0966
0.534184	0	1.01439	0.985075	0	0.0307892	3.61638e-05	14.4383	-0.052621	17.0793	49.9491	193.818	11.8778	12.3095	4.38661	26.4116	26.4784	5.60045	460.903	422.929	65.2329
0.743239	0	1.04774	0.976331	0	0.0570399	8.3412e-05	10.8902	-0.0611196	16.2777	43.0258	136.964	20.4312	19.5	16.6329	35.5423	34.6515	6.54861	532.287	505.391	84.0057
0.45784	0	1.00929	0.977346	0	0.0250508	2.58722e-05	11.9832	-0.0655297	13.4789	40.103	126.044	27.0717	24.3377	29.5221	36.402	35.7483	7.6164	569.934	532.07	89.8933
0.492711	0	1.00883	0.980998	0	0.0222463	1.71756e-05	13.8414	-0.0560171	15.9061	46.8905	172.509	35.9625	48.7119	58.0323	16.7973	16.1719	2.63324	568.563	507.86	104.482
0.507596	0	1.01555	0.972549	0	0.0297525	3.32357e-05	15.1063	-0.0508039	17.533	51.7839	207.897	12.0755	13.254	7.76082	6.80039	6.70766	2.10464	542.467	478.415	100.485
0.720107	0	1.03808	0.969631	0	0.0443749	3.4694e-05	12.8615	-0.0525856	18.5361	49.9198	187.322	30.1324	25.132	31.6396	36.8942	36.4139	5.24777	317.429	294.834	49.9474
0.65175	1	1.02916	0.975124	0.000137326	0.0465781	8.51086e-05	12.615	-0.0563119	16.6329	46.7381	165.436	14.072	13.7372	13.2418	12.2723	11.898	2.60037	438.615	408.153	59.4744
0.763639	0	1.05333	0.971491	0	0.0528742	4.78033e-05	12.3568	-0.0521578	19.1387	50.3528	186.65	9.78455	9.8149	3.8108	12.6343	12.0474	1.9932	453.545	418.571	60.5843
0.608853	0	1.01869	0.977376	0	0.0325296	2.52552e-05	13.5196	-0.054491	17.0427	48.2012	179.612	10.3825	10.8449	4.58349	6.0175	6.1713	1.75092	602.807	540.812	90.6379
